"nrounds","max_depth","eta","gamma","min_child_weight","subsample","colsample_bytree","RMSE","MAE"
50,3,0.01,0,3,0.6,0.8,3.81116728469987,2.71165193830218
150,3,0.01,0,3,0.6,0.8,3.35847197109478,2.20691571916853
200,3,0.01,0,3,0.6,0.8,3.24513557163784,2.14060265677316
250,3,0.01,0,3,0.6,0.8,3.15219092457154,2.05675779070173
50,6,0.01,0,3,0.6,0.8,3.82826725944369,2.73164422171456
150,6,0.01,0,3,0.6,0.8,3.37724861548155,2.24534933907645
200,6,0.01,0,3,0.6,0.8,3.2601335526582,2.13470349993025
250,6,0.01,0,3,0.6,0.8,3.17745579751377,2.07383673531669
50,9,0.01,0,3,0.6,0.8,3.80142151206219,2.70997674124581
150,9,0.01,0,3,0.6,0.8,3.40081128878817,2.24012701851981
200,9,0.01,0,3,0.6,0.8,3.25503826167225,2.138610294887
250,9,0.01,0,3,0.6,0.8,3.17207169591796,2.08065359933036
50,3,0.05,0,3,0.6,0.8,3.10846741282484,2.01327623639788
150,3,0.05,0,3,0.6,0.8,2.61895031640808,1.89847619192941
200,3,0.05,0,3,0.6,0.8,2.77604457882679,2.15027781895229
250,3,0.05,0,3,0.6,0.8,2.62018477466557,2.06335394723075
50,6,0.05,0,3,0.6,0.8,3.16196416213245,2.12970406668527
150,6,0.05,0,3,0.6,0.8,2.72105747781555,2.15954916817801
200,6,0.05,0,3,0.6,0.8,2.7519827811575,2.20607430594308
250,6,0.05,0,3,0.6,0.8,2.7599171323109,2.15182277134487
50,9,0.05,0,3,0.6,0.8,3.13581315955861,2.06879098074777
150,9,0.05,0,3,0.6,0.8,2.68475392649161,2.00922230311802
200,9,0.05,0,3,0.6,0.8,2.77452066733257,2.19369234357561
250,9,0.05,0,3,0.6,0.8,3.01936864413976,2.38895634242467
